ID,tweet,annotation
15430,"If its the news, it must be true? No, its not. Check your facts, do your research, it does not have to be april fools day. ",0.25
8514,Covid is going to ruin Christmas this year,0.0
275,today is a big day just went over 300 twitter followers whoo hoo,0.75
11283, my family is being so supportive today and making me feel great,1.0
16276,@pamparoni If they aren’t out yet just wait to get the ps5 later with a discount,0.0
5841,mentally I’m hiding in the walk-in,0.25
17101, shoutout to the poamoho fam for the birthday wishes,0.25
11953,just expressing my love for brandi carlile and brittney howard that is all,0.25
8189, i'm gonna be stuck in traffic tonight yaaaaaaayyyyy,1.0
2387, i do love waiting for amazon logistics,1.0
11299,This will haunt me forever !!!!!! #untildawn #scared #twitch https://t.co/AoXmXF8PDv,0.5
6634,"Max Verstappen is such a clean driver, he never makes dirty moves when racing.",0.5
10008, you will do blackburn good like how you did with the dynamo owen,0.25
9700,I see windyspoons have taken all protective barriers of their bars. Sensible drinking policies from the desperate King of brexit.,1.0
3577,I’m feeling that line up I can’t lie,0.0
1211,Their own MP voted against.,0.0
1677, i just love this whole not getting paid thing it's so not stressful,1.0
17900, shout out to the mcdonald's for giving me bad food and making me sick right before work in two hours,1.0
17623,i’m a sick. sick man..,0.5
4046,It'll all be okay in the end 👍,0.25
14286,Omg flashbacks to emma blackery girl balls merch and the fact that i spent money on it,0.0
10210,"The comments made about the jockeys weighing room should categorically be retracted. Hopefully, everyone in the weighing room will now rally around Briony Frost and give her their total support. Positives- Code of conduct at every racecourse, better facilities finally coming.🙏",0.0
4982,It’s sad.. guys make me want to stay single more and more everyday. Guys Respect your ladies please. Stay out of my dms especially if your married or just had a kid 🤯,0.0
17443,"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",1.0
9007,You know what works better than therapy? Watching Mamma Mia,0.25
10404,So stoked to see them tonight,0.25
19171,People really don’t seem to understand that a vaccine and a cure are two completely separate things like we can’t cure covid but we can sure make sure less people have serious side effects by vaccinating them. Almost like exactly what the flu vaccine does 🤔,0.0
2674,Original pandemic baby bc I got swine flu xx,0.25
16097,Slightly annoyed watching graham Norton and how condescending he was towards Henry Cavill.,0.0
13447,Did anyone else used to have the local church walk past their house with a giant crucifix on good Friday or did I just live a really fucking weird childhood?!,0.25
11576,Done,0.5
9607, lorry drivers are really nice people they put a decorative sign on car for free t t,1.0
10285,"This is the festivity you cannot miss...
A superb venue, and a wonderful evening..
December What's On list included..!",0.0
278, just got me an mmr booster shot watch this space for a spontaneous outbreak of autism,1.0
369, thankfully i moved back to a much safer city,0.5
13865,dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1.0
