ID,original_ID,tweet,sarcastic,rephrase
5002,test_a_921,"I really loved the drive into work today in the dark, wet, heavy rain",1,
1377,sign_3530,i just looooove getting big cases on friday afternoons,1,i just hate getting big cases on friday afternoons
3297,sign_12376,i just love it when people near and dear to me act like they care that i'm really sick with a fever,1,no one seems to care that i'm sick
2404,train_2773,man I really hate seeing two fucking idiots raising a baby,0,
10364,test_a_873,I really hate being stuck at home thanks to the governments lack of controls on covid in school.,0,
13608,train_2450,I absolutely hate when players do that dumb early celebration nonsense,0,
4821,sign_3549,i absolutely love how my mom doesn't believe a damn word i say,1,i really don't like how my mom doesn't believe a damn word i say
8042,sign_12009,i really love enrollments,1,i really hate enrollments
15087,sign_12389,i just love going down my timeline to see one of my friends post negativety for the last 2 days,1,i hate the negative posts on my timeline
15507,sign_2773,i just love having to get my car towed on a sunday when i work the next day,1,i just hate having to get my car towed on a sunday when i work the next day
10020,sign_4662,and i just love cardio,1,i hate cardio
17811,sign_7181,i just love how people do the total opposite of what my pinned tweet says,1,i hate how people do the total opposite of what my pinned tweet says
4817,sign_12360,i just love walking in the rain,1,i don't like walking in the rain
3637,sign_12712,i always love seeing people in workout clothes smoking,1,i always hate seeing people who don t in workout clothes not smoking
11809,sign_2641,i totally love life so much,1,i don t love my life at all
14384,sign_604,i really love how people have to read the sign out loud as they come in,1,i cant stand how people have to read the sign out loud as they come in
8867,sign_12725,i absolutely love driving all over the place in the rain and lightning,1,i don't like driving in bad weather
18588,sign_3927,i just love it when it storms,1,i hate storms
2738,sign_7863,woop i just love having shitty dreams that make me sad in real life,1,i hate bad dreams
4555,sign_3202,i just love when people that don't live in nyc try to tell me what is and isn't safe in this city,1,i am annoyed when people who don't live in nyc talk how it is and about its safety
8411,sign_12396,i just love getting email addressed as hi gmail or hi first name or similar,1,i don't like receiving automated emails
8203,sign_7147,i so love when people spout out about things they have no idea about,1,people shouldn't talk about the things they don't have a clue about
17576,sign_2401,i just love how my mom takes phone calls while she's filling out her portion of my fafsa sarcasm,1,i just hate how my mom takes phone calls while she's filling out her portion of my fafsa
11589,test_c_35,"I just love Christmas time, when goodwill abounds in every shop",1,Why are people so rude and pushy in shops at Christmas?
357,sign_5468,i really do love it when people copy me,1,i really do hate it when people copy me
17514,train_655,I just love falling up the stairs 😑,1,I really don't like falling up the stairs.
6774,sign_5371,i just love watching sports,1,i don t like watching sports
16199,sign_12359,i just love washing my hands in water piped in from the great arctic melt,1,i just hate washing my hands in icy cold water
16152,sign_11990,i really love it when someone drinks the last of the coffee and doesn't make another pot,1,i don't like when people drink all the coffee and don't make more
629,sign_12405,i just love all the stupid workouts on pinterest,1,i do not like the workouts on pinterest
10313,test_a_1248,"Boy, I sure do love being constantly misgendered by my cis relatives at family gatherings 🙃",1,
11074,train_142,Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,Pitching two games back to back is exhausting.
14578,sign_14690,i just love when customers make me repeat myself,1,i hate when customers make me repeat myself
15265,train_53,"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",1,I hate working outside in the heat.
12485,test_a_944,I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!,1,
995,train_2456,i just love everyone posting wholesome pics with their pets when theyre home for break,0,
4570,test_a_848,I just love the smell of one million 😍,0,
857,test_a_731,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,1,
