ID,original_ID,tweet,sarcastic,rephrase
6440,sign_6941,i looove getting 3 hours of sleep because two jobs,1,i hate getting 3 hours of sleep because two jobs
12874,sign_12479,i hate people who use big words just to make themselves look perspicacious,1,i hate people who use big words just to make themselves look perspicacious
4295,sign_12125,i love that girl who never liked even my dp,1,i love that girl who never liked even my dp
4147,train_2222,I hate that I wasted my whole weekend 😠,0,
11437,sign_5017,i love being ignored,1,i hate being ignored
719,train_2204,I hate this guy so much https://t.co/lHPKXjNLL4,0,
11335,test_c_47,I hate living in such a cold place,0,
6366,test_a_1159,I hate seeing my favourite game company go down the drain.,0,
5125,sign_3595,yes because i loved to be ignored,1,yes because i hate to be ignored
11902,sign_11774,i'm loving the ceasefire in syria,1,i'm annoyed with the ceasefire in syria
4485,test_a_562,I hate it when a restaurant ignores my dietary requirements,0,
6942,train_2031,happy international lesbian day i love loving women 😍,0,
16693,test_a_88,I hate paying so much for gas.,0,
17788,train_402,i hate it here ❤️❤️❤️❤️❤️,1,I hate it here. (no emojis)
9842,test_a_1208,I would hate to be stuck in my room for another lockdown,0,
7624,sign_12151,i love scary movies by myself,1,i hate watching scary movies alone
18634,sign_6292,i love this new holding pen approach to security lineups at big airports,1,annoyed by this new holding pen approach to security lineups at big airports
14115,sign_3361,i love when my boyfriend texts me back,1,i hate being single forever
11709,sign_12149,i love shredding lettuce hahaha,1,i hate shredding lettuce
4516,sign_12208,i love how the summer's eve feminine wash commercial focuses on a guy who's insecure about his masculinity,1,this commerical's message was all wrong
18276,sign_5697,i love being sarcastic,1,i don't like being sarcastic
19618,sign_830,i love when i see people get mad at something that's clearly a joke over social media lol,1,i hate when i see people get mad at something that's clearly a joke over social media lol
12917,sign_725,i love when old men cat call me from their work truck in the morning,1,i hate when old men cat call me from their work truck in the morning
2717,sign_12309,i love arbitrary lines going through customs in airports,1,i hate arbitrary lines going through customs in airports
8399,sign_12179,i love listening to my neighbors blast spanish music,1,i hate listening to my neighbors blast spanish music
300,sign_7636,yes i would love a lesson on communism individual who only has reference through the word commie and has never read marx engels,1,i have read marx engels and i wouldn't like a lesson about communism
19798,sign_10334,nothing i love more then coming home to clean something i deep cleaned two days ago,1,i hate cleaning things i deep cleaned two days back
868,sign_5349,i love dashboards which are actually just a tables in a word document or b excel workbooks,1,so bored with dashboards which are actually just a tables in a word document or b excel workbooks
19840,sign_5997,i love silence,1,i don't like silence
2352,sign_4962,i love it when people get nasty with me when i enforce the rules,1,i hate it when people get nasty with me when i enforce the rules
11388,sign_12200,i love insomnia,1,i hate insomnia
851,sign_12087,i love twofaced people,1,i hate twofaced people
10511,sign_7261,yes facebook i'd love to see posts from a year ago today,1,yes facebook i'd hate to see posts from a year ago today
2648,sign_12187,i love it when it's my day off and i get called into work,1,i hate it when it's my day off and i get called into work
15536,sign_7475,i love the urgency we re playing with,1,i hate the urgency we re playing with
15266,sign_5940,oh how i love sitting in a court house to pay a ticket,1,oh how i hate sitting in a court house to pay a ticket
11226,test_a_407,What I would love to tweet right now 👀👀,0,
10446,sign_5435,i love ppl who don't understand my humor,1,i hate ppl who don't understand my humor
18726,sign_3083,i love how everyone is responding to my texts this weekend,1,i hate how everyone is responding to my texts this weekend
17618,test_a_727,I love my friends,0,
16329,sign_2253,i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot,1,i hate when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot
8216,sign_5210,i love the smell of the hospital er at 3 am,1,i hate the smell of the hospital er at 3 am
1848,sign_7093,i love when my joints randomly click pop during simple movements,1,hate when my joints randomly click pop during simple movements
121,sign_1275,i love how retweets show up in the what i missed section now,1,i hate how retweets show up in the what i missed section now
13604,train_921,i love shoegaze sm,0,
19497,train_284,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1,I hate when Rob works short call and is still at the hospital for 13+ hours.
17988,sign_4470,things i love people being wishy washy,1,things i hate people being wishy washy
8386,sign_2660,i love testing my patience grocery shopping at walmart on a sunday night,1,i hate testing my patience grocery shopping at walmart on a sunday night
13839,sign_13143,gosh i love 17 hour work days,1,i hate long days
546,train_109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow
14028,sign_12059,i love when people think the rules don't apply to them,1,i hate when people think the rules don't apply to them
2517,sign_1443,i love how corporations like to do the bare minimum that ada allows,1,i hate how corporations like to do the bare minimum that ada allows
3981,sign_12142,i love summers with no air con,1,i hate summers with no air con
14719,sign_12081,i love waking up to the call of the dying smoke detector,1,smoke detector woke me up and i'm not happy
9930,sign_12280,i love being too mentally ill to email my mental health care provider,1,i don't like being mentally ill
11488,sign_12131,i love texting people something important and them not texting me back,1,why can't people reply to texts ?
18485,sign_12267,i love getting drawn on at work especially my face,1,i hate getting drawn on at work especially not my face
12191,sign_10075,ohhhh atlanta how i love your traffic,1,i hate atlanta traffic
76,sign_12311,i love 2 hour nosebleeds level 100,1,two hour nosebleeds are horrible
12396,sign_12097,i love the way you lie,1,i hate the way you lie
5641,sign_331,i love when they run the same commercial twice in a row,1,i hate when they run the same commercial twice in a row
15058,test_a_1398,"I love it when women are referred to as ""girl boss"" however men are just the ""boss""!",1,
18688,train_2953,"I love asking my boyfriend, the biology student, really complicated physics questions and seeings his brain melt",0,
8484,sign_6396,i love homework,1,i hate homework
